Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GDP,HBP,SH,SF,IBB
Ian Happ#,28,CHC,NL,158,691,580,86,144,35,4,21,84,14,3,99,153,12,6,0,6,2
Bryce Harper*,30,PHI,NL,126,546,457,84,134,29,1,21,72,11,3,80,119,10,5,0,4,8
Michael Harris II*,22,ATL,NL,138,539,505,76,148,33,3,18,57,20,4,25,101,8,5,1,3,1
Josh Harrison,35,PHI,NL,40,114,103,8,21,3,0,2,10,0,0,3,20,2,6,0,2,0
Adam Haseley*,27,CHW,AL,28,39,36,6,8,2,0,0,2,1,0,3,8,1,0,0,0,0
Ke'Bryan Hayes,26,PIT,NL,124,525,494,65,134,31,7,15,61,10,6,28,104,11,0,0,3,1
Austin Hays,27,BAL,AL,144,566,520,76,143,36,2,16,67,5,1,38,141,11,3,0,5,1
Taylor Hearn*,28,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Heasley,26,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Hedges,30,TOT,MLB,81,212,185,14,34,5,0,1,16,1,0,11,47,7,2,10,3,0
Jonah Heim#,28,TEX,AL,131,501,457,61,118,28,0,18,95,2,0,40,96,10,1,0,3,2
Tyler Heineman#,32,TOT,MLB,22,47,38,5,9,1,1,0,3,1,0,8,8,0,1,0,0,0
Ryan Helsley,28,STL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gunnar Henderson*,22,BAL,AL,150,622,560,100,143,29,9,28,82,10,3,56,159,10,3,0,3,1
David Hensley,27,HOU,AL,30,94,84,12,10,1,0,1,3,1,0,10,35,0,0,0,0,0
Carlos Hernández,26,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enrique Hernández,31,TOT,MLB,140,508,465,57,110,23,0,11,61,4,1,34,97,17,3,0,6,1
Teoscar Hernández,30,SEA,AL,160,678,625,70,161,29,2,26,93,7,2,38,211,6,8,0,7,2
Yonny Hernández#,25,LAD,NL,14,27,22,5,3,1,0,0,4,0,0,2,8,0,1,1,1,0
Iván Herrera,23,STL,NL,13,44,37,6,11,2,0,0,4,0,0,5,11,1,2,0,0,0
José Herrera#,26,ARI,NL,41,120,101,15,21,5,0,0,7,1,0,13,30,2,0,5,1,0
Jason Heyward*,33,LAD,NL,124,377,334,56,90,23,0,15,40,2,2,34,64,7,3,0,3,1
Aaron Hicks#,33,TOT,AL,93,312,269,44,68,9,1,8,36,6,0,42,69,3,0,0,1,1
Kyle Higashioka,33,NYY,AL,92,260,242,24,57,13,0,10,34,0,0,14,74,5,0,1,3,0
Derek Hill,27,WSN,NL,13,50,47,3,8,1,0,0,1,1,0,3,11,0,0,0,0,0
Sam Hilliard*,29,ATL,NL,40,78,72,15,17,5,0,3,6,4,0,6,33,1,0,0,0,0
Bryan Hoeing,26,MIA,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nico Hoerner,26,CHC,NL,150,688,619,98,175,27,4,9,68,43,7,49,83,12,14,1,5,0
TJ Hopkins,26,CIN,NL,25,44,41,7,7,0,0,0,1,1,0,2,17,1,1,0,0,0
Spencer Horwitz*,25,TOR,AL,15,44,39,5,10,2,0,1,7,0,0,4,12,1,1,0,0,0
Eric Hosmer*,33,CHC,NL,31,100,94,7,22,3,0,2,14,0,0,6,25,5,0,0,0,0
Sam Huff,25,TEX,AL,21,45,43,5,11,2,0,3,6,0,0,2,17,1,0,0,0,0
Cooper Hummel#,28,SEA,AL,10,26,23,2,2,1,0,0,0,1,0,2,9,1,1,0,0,0
Tommy Hunter,36,NYM,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Ibáñez,30,DET,AL,114,383,356,42,94,23,2,11,41,1,0,24,69,7,1,1,1,0
Jonathan India,26,CIN,NL,119,529,454,78,111,23,0,17,61,14,2,52,109,13,16,0,7,0
Kyle Isbel*,26,KCR,AL,91,313,292,45,70,22,2,5,34,7,1,17,59,5,1,1,2,0
Drey Jameson,25,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Travis Jankowski*,32,TEX,AL,107,287,247,34,65,12,1,1,30,19,1,35,42,6,2,1,2,0
Danny Jansen,28,TOR,AL,86,301,268,38,61,15,0,17,53,0,0,23,62,3,10,0,0,1
Kenley Jansen#,35,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryce Jarvis*,25,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Jeffers,26,MIN,AL,96,335,286,46,79,15,2,14,43,3,2,33,93,6,10,4,2,1
Eloy Jiménez,26,CHW,AL,120,489,456,50,124,23,0,18,64,0,0,30,93,13,1,0,2,2
Joe Jiménez,28,ATL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
